title,description,author,content
"CBS names Dickerson, DuBois as co-anchors of the ""CBS Evening News,"" replacing Norah O'Donnell",CBS News has moved fast to reconfigure the “CBS Evening News” after announcing the exit of Norah O'Donnell as anchor of the third-rated newscast earlier this week,The Associated Press,"John Dickerson and Maurice DuBois will co-anchor the “CBS Evening News” following the  Dickerson is a former host of “Face the Nation” and “CBS This Morning” for the network. The former Time magazine White House correspondent has been anchoring a nightly newscast for CBS' streaming service most recently. DuBois, a veteran anchor for CBS' local affiliate in New York City, has also contributed reporting to various CBS newscasts. The storied newscast, which Walter Cronkite, Dan Rather and Katie Couric have anchored, has been third in the ratings to ABC's “World News Tonight” and NBC's ""Nightly News” for years. O'Donnell, who is becoming a special correspondent focusing on big interviews for CBS, didn't move the needle. Bill Owens, executive producer of CBS News' most successful broadcast, “60 Minutes,” will also become supervisor of the evening news, said Wendy McMahon, president and CEO of CBS News and Stations. Owens appointed veteran “60 Minutes” hand Guy Campanile as executive producer of the evening news. The Washington-based Margaret Brennan, moderator of “Face the Nation,” will lead the broadcast's coverage of political and foreign affairs. The evening news, which broadcast from a Washington studio to accommodate O'Donnell, will move back to New York, CBS said. The newscast also named Lonnie Quinn as its chief weather forecaster. "
"Apple emerged from a recent sales slump in its latest quarter, setting the stage for its upcoming launch into AI","Apple emerged from a recent sales slump in its latest quarter, setting the stage for its upcoming launch into AI",The Associated Press,"CUPERTINO, Calif. --  "
Apple breaks out of recent sales slump as it gears up to make its leap into the AI craze,Apple snapped out of a prolonged sales slump during its most-recent quarter,MICHAEL LIEDTKE AP technology writer,"Apple snapped out of a prolonged sales slump during its most recent quarter as the trendsetting company prepares to launch into the artificial intelligence craze with an arsenal of new technology that’s expected to juice demand for its next iPhone. The fiscal third-quarter results announced Thursday covered an April-June period that’s typically a sluggish stretch for Apple as its loyal customer bases awaits the next version of the iPhone that’s traditionally unveiled shortly after Labor Day. Even so, Apple boosted its sales from a year ago — a welcome reversal of fortune on the heels of  This time around, Apple’s revenue rose 5% from a year to $85.78 billion — a figure that exceeded analysts’ projections. The Cupertino, California, company earned $21.45 billion, or $1.40 per share, an 8% increase from the same time last year. The profit also topped analyst forecasts. Apple's shares swung between slight increases and modest declines in Thursday's extended trading as investors assessed the results.  Sales of the iPhone — Apple’s marquee product — remained on a downward slope though, dipping 1% from last year to $39.3 billon. That decrease wasn’t as bad as the January-March period when iPhone sales plummeted 10% from last year, and now the product appears headed toward a major upswing. That’s because Apple is planning to roll out  The next model, the iPhone 16, is expected to be equipped with the AI chip — a factor that analysts believe will spur consumers who have been holding on to their older devices to splurge on upgrades so they can take advantage of the new features. That expectation is the main reason why Apple’s stock price has surged 13% since the company previewed its AI tools in early June — a run-up that has created about $400 billion in shareholder wealth so far. “I believe it will be a very key time for a compelling upgrade cycle,” Apple CEO Tim Cook told analysts during a Thursday conference call.  Apple’s push into AI may also fuel its steadily growing services division, which saw its revenue climb 14% from last year to $24.21 billion in the most recent quarter. Although the services division has been thriving for years, it's confronting regulatory threats that could drag down its performance. A lucrative deal that generates about $20 billion in revenue by making Google the default search engine on the iPhone and Safari browser is being targeted in a high-profile antitrust case that the U.S. Justice Department filed against Google. A federal judge is expected is  The Justice Department also is  That started a legal process that will take several more months to play out before the presiding judge decides whether to throw out the case or allow it to proceed in a ruling likely to come late this year or early next year.  As has been happening during much of the past year, Apple’s sales continued to erode in China — a worry for investors because the region is one of the company’s key markets. Apple’s revenue in China dropped 7% from last year in the past quarter. "
"Protecting against floods, or a government-mandated retreat from the shore? New Jersey rules debated",New Jersey officials are defending proposed building rules designed to limit damage from future storms and steadily rising seas in coastal areas,WAYNE PARRY Associated Press,"TOMS RIVER, N.J. --  Lawmakers from both parties held a hearing Thursday in Toms River, one of the hardest-hit communities by Superstorm Sandy, to discuss the state's Protecting Against Climate Threats initiative and respond to criticism of the proposal from business interests. Mandated by an 2020 executive order from Democratic Gov. Phil Murphy, the proposed rules are designed to account for rising seas and a changing climate in making land use decisions near the ocean, bays and rivers in an effort to limit damage from future storms. The rules would extend the jurisdiction of flood control measures further inland, require buildings to be constructed five feet (1.5 meters) higher off the ground than current rules call for, and require elevating roadways in flood-prone areas. They are to be published soon in the New Jersey Register, and subject to public comment before taking effect later this year. Other states and cities are considering or doing similar climate-based updates to development rules or acquisition of flood-prone properties, including North Carolina, Massachusetts, Fort Worth, Texas, and Nashville, Tennessee. Nick Angarone, New Jersey's chief resilience officer, said proposed rules are necessary to “be clear-eyed about what is happening right before us.” He said New Jersey ranks third in the nation in flooding claims paid by the federal government at $5.8 billion since 1978. Angarone and others cited a Rutgers University study projecting that sea levels in New Jersey will rise by 2.1 feet (65 centimeters) by 2050 and 5.1 feet (1.5 meters) by the end of the century. By that time, he said, there is a 50% chance that Atlantic City will experience so-called “sunny-day flooding” every day. The New Jersey Business and Industry Association pushed back hard against the rules and the study upon which they are based, warning that the initiative is the start of a much-debated “managed retreat” from the shoreline that some scientists say needs to happen but that is anathema to many business groups. ""It will significantly harm the economy of our shore and river communities, and is premised on the policy that people and businesses should be forced to retreat from the coast,” said Ray Cantor, an official with the group and a former advisor to the Department of Environmental Protection under Republican Gov. Chris Christie. “We do believe that we need to consider sea level rise in our planning efforts,"" he said. “However, this rule is based on flawed scientific assumptions and will force a retreat from the Jersey Shore and coastal communities.” Rutgers defended its projections as consistent with 2021 sea-level projections for Atlantic City of the Intergovernmental Panel on Climate Change, “a trusted, highly credible, heavily reviewed source of information for climate change.” Cantor claimed the new rules will create “no-build zones” in parts of the shore where it will simply be too costly and onerous to comply with the new requirements. State officials vehemently denied that claim, saying the rules aim only to lessen the amount of damage from future storms that residents and businesses must deal with. They  Tim Dillingham, executive director of the American Littoral Society, said governments should start discouraging new construction in areas that repeatedly flood. “We need to stop developing highly vulnerable areas,” he said. “We ought to take steps to keep those people out of harm's way.” Under its Blue Acres buyout program, New Jersey acquired and demolished hundreds of homes in areas along rivers and bays that repeatedly flood. But it has yet to buy a single home along the ocean.  Sen. Bob Smith, who chaired the hearing, said the measures called for by the proposed rules “are not a retreat."" He called opposition from the Business and Industry Association “silly.” The association appeared unfazed by the criticism; it hired an advertising plane to fly a banner up and down the oceanfront on Thursday with words for the governor: “Don't Force A Shore Retreat.” ___ Follow Wayne Parry on X at www.twitter.com/WayneParryAC  "
Fiery North Dakota derailment was latest crash to involve weak tank cars the NTSB wants replaced,The fiery North Dakota derailment that burned for days early last month was the latest train crash to involve flawed tank cars the National Transportation Safety board has been trying to get off the tracks for decades,JOSH FUNK Associated Press,"The fiery  The NTSB said in a  CPKC railroad officials are prohibited from answering questions about the derailment while NTSB is investigating. The NTSB highlighted the fact that some of the 17 tank cars carrying hazardous materials that derailed were DOT-111 tank cars that have demonstrated time and again that they are prone to rupturing in a train crash. The agency has been  Officials at the Federal Railroad Administration have said it might be possible to move up that deadline by a year, but probably not much more than that because tank car manufacturers don't have the capacity to do it sooner. There is also a significant cost for the chemical and leasing companies that own them to replacing a tank car. The NTSB said it will be doing a detailed damage assessment on the DOT-111 tank cars and the more robust newer models of tank cars that were involved in this crash as part of its investigation over the next year or more. Recently, investigators  In the North Dakota crash, it was fortunate that few people lived nearby. Only two homes were voluntarily evacuated for two days while crews put out the fires and dealt with the methanol and anhydrous ammonia that spilled. A dozen of the other cars that derailed were carrying plastic pellets.  No injuries were reported in the derailment itself. The NTSB said an emergency brake application was done on the train before it derailed, but it didn't say whether the two-person crew did that or whether the brakes were triggered automatically. The 151-car train was going about 45 mph (73 kph) when it derailed — which was below the 50 mph (80 kph) speed limit for it since it was carrying a number of hazardous materials cars. _____ This story corrects the spelling of Bordulac, North Dakota.  "
Book Review: 'The Future Was Now' is a brilliant look back at the groundbreaking movie summer of '82,"In “The Future Was Now,” former Entertainment Weekly film critic Chris Nashawaty explores the significance of the summer of 1982, which featured the release of eight groundbreaking science fiction and fantasy films",MIKE HOUSEHOLDER Associated Press,"The moments are seared into the pop culture pantheon. And our collective consciousness.  A friendly alien taking Henry Thomas' character Elliott on an airborne bike ride with the full moon as a backdrop in “E.T.” Carol Anne (Heather O'Rourke) in “Poltergeist,” getting out of bed, staring into a pulsating TV screen, turning to her family and warning: “They're here.”  Former Entertainment Weekly film critic Chris Nashawaty walks readers through the significance (and making) of each of the films, as well as five other science fiction/fantasy classics — “Blade Runner,” “Mad Max 2: The Road Warrior,” “Star Trek II: The Wrath of Khan,” “The Thing” and “Tron” — that, incredibly, were released within two months of each other in the summer of 1982. In the ultra-entertaining and informative “The Future Was Now: Madmen, Mavericks, and the Epic Sci-Fi Summer of 1982,” Nashawaty makes the case that the octet of flicks altered the trajectory, not only of the auteurs at the helm, but of Hollywood filmmaking. “The summer of 1982 was the moment when sci-fi, fantasy, and splashy blockbusters ripped from the pages of comic books would grow up,” Nashawaty writes. ""These films could no longer be nonchalantly dismissed as kids' stuff. “They became the harbingers of a new era and eventually the most dominant force in popular entertainment.” His thesis is solid, sure. But it's not what makes “The Future Was Now” a great read. The behind-the-scenes intrigue does that. Nashawaty digs deep into the history of how these groundbreaking films got — and were — made. Perhaps most fascinating is the tale of burgeoning cinema maestro  Add in the complex origins of the “Star Trek” and “Mad Max” sequels, plus  The summer of '82 paved “the way for our current all-blockbusters-all-the-time era,” Nashawaty writes. But the real treat is having a front-row seat as the author's painstaking research and expert recounting bring to life how these silver-screen gems came to be. ___ AP book reviews:  "
Stock market today: Dow drops 600 on weak jobs data as a global sell-off whips back to Wall Street,Stocks tumbled Friday on worries the U.S. economy could be cracking under the weight of high interest rates meant to whip inflation,STAN CHOE AP business writer,"NEW YORK --  The S A report showing hiring by U.S. employers slowed last month by much more than economists expected sent fear through markets, with both stocks and bond yields dropping sharply. It followed a batch of weaker-than-expected reports on the economy from a day earlier, including a worsening for U.S. manufacturing activity, which has been one of the areas hurt most by high rates. It was just  Now, worries are rising the Fed may have kept its main interest rate at a two-decade high for too long. A rate cut would make it easier for U.S. households and companies to borrow money and boost the economy, but it could take months to a year for the full effects to filter through. “The Fed is seizing defeat from the jaws of victory,” said Brian Jacobsen, chief economist at Annex Wealth Management. “Economic momentum has slowed so much that a rate cut in September will be too little and too late. They’ll have to do something bigger than” the traditional cut of a quarter of a percentage point “to avert a recession.” Traders are now betting on a 70% probability that the Fed will cut its main interest rate by half a percentage point in September, according to data from CME Group. That’s even though Powell said Wednesday that such a deep reduction is “not something we’re thinking about right now.” Of course, the U.S. economy is still growing, and a recession is far from a certainty. The Fed has been clear about the tightrope it’s walking since it started hiking rates sharply in March 2022: Being too aggressive would choke the economy, but going too soft would give inflation more oxygen.  While refusing to claim victory on either the jobs or the inflation fronts on Wednesday, before the discouraging economic reports hit, Powell said Fed officials “have a lot of room to respond if we were to see weakness” in the job market after hiking its main rate so high.  “Certainly today’s job data feeds the weakening economy narrative, but I believe the market is overreacting at this point and pricing too much in on rate cuts at this stage,” said Nate Thooft, senior portfolio manager at Manulife Investment Management. “Yes, the economy is weakening, but I am not convinced there is enough evidence that the data so far is a death knell for the economy.”  U.S. stocks had already appeared to be headed for losses Friday before the disappointing jobs report thudded onto Wall Street. Several big technology companies turned in underwhelming profit reports, which continued a mostly dispiriting run that began last week with results from  Amazon fell 8.8% after reporting  Intel dropped even more, 26.1%, for its worst day in 50 years, after the chip company’s profit for the latest quarter  Apple held steadier, up 0.7%, after reporting  Apple and a handful of other Big Tech stocks known as the “  Friday’s losses for tech stocks dragged the Nasdaq composite 10% below its record set last month. That level of drop is what traders call a “correction.” Helpfully for Wall Street, other areas of the stock market beaten down by high interest rates began rebounding sharply last month when tech stocks were regressing, particularly smaller companies. But they tumbled too Friday on worries that a fragile economy could undercut their profits. The Russell 2000 index of smaller stocks dropped 3.5%, more than the rest of the market.  All told, the S In the bond market, Treasury yields fell sharply as traders forecasted deeper cuts to rates coming from the Federal Reserve. The yield on the 10-year Treasury fell to 3.79% from 3.98% late Thursday and from 4.70% in April.  In stock markets abroad, Japan’s Nikkei 225 dropped 5.8%. It’s been struggling since the Bank of Japan raised its  Chinese stocks fell as investors registered disappointment with the  Commodity prices also had a rough ride this week. Oil prices leaped after the killings of leaders of  But prices fell back Thursday and Friday on worries that a weakening economy would burn less fuel. A barrel of benchmark U.S. crude dropped back below $74 Friday after coming into the week above $77.  ___ AP Business Writers Matt Ott and Elaine Kurtenbach contributed.  "
"Heat deaths of people without air conditioning, often in mobile homes, underscore energy inequity",Advocates say air conditioning is no longer a luxury but a public health and affordability issue,ANITA SNOW Associated Press,"PHOENIX --  For the last dozen years, the 61-year-old spent much of the year working near Pasco, Washington, sending money to his wife and daughters in the Pacific coast state of Nayarit, Mexico, and traveling back every Christmas.  Now, the family is raising money to bring his remains home. “If this motor home would have had AC and it was running, then it most likely would have helped,” said Franklin County Coroner Curtis McGary, who determined Vazquez Navarro's death was heat-related, with alcohol intoxication as a contributing cause.  Most heat-related deaths involve homeless people living outdoors. But those who die inside without sufficient cooling also are vulnerable, typically older than 60, living alone and  Underscoring the  “Air conditioning is not a luxury, it’s a necessity,” said Mark Wolfe, executive director of the National Energy Assistance Directors’ Association, which represents state energy assistance programs. “It’s a public health issue and it’s an affordability issue.”  People living in mobile homes or in aging trailers and RVs are especially likely to lack proper cooling. Nearly a quarter of the indoor heat deaths in Arizona's Maricopa County last year were in those kinds of dwellings, which are transformed into a broiling tin can by the blazing desert sun.  “Mobile homes can really heat up because they don’t always have the best insulation and are often made of metal,” said Dana Kennedy, AARP director in Arizona, where many heat-related deaths occur. Research “People are exposed to the elements more than in other housing,” said Patricia Solís, executive director of the  Worse, some parks bar residents from making modifications that could cool their homes, citing esthetic concerns. A new Arizona law required parks for the first time this summer to let residents install cooling methods such as window units, shade awnings and shutters. In Arizona’s Maricopa County, home to Phoenix, 156 of  One victim was Shirley Marie Kouplen, who died after being overcome by high temperatures inside her Phoenix mobile home amid a  Emergency responders recorded the 70-year-old widow's body temperature at 107.1 F (41.7 C). Kouplen, who was diabetic and had high blood pressure, was rushed to a hospital, where she died. Kouplen apparently was struggling financially, if the shabby condition of her mobile home was any indication. It still sits on Lot 60, surrounded by a chain-link fence with a locked gate and a dirt driveway overgrown with weeds.  It's unclear how the cord got unplugged, if Kouplen had an electricity account or how she got her power.  “Losing your air conditioning is now a life-threatening event,” said Texas A Arizona’s regulated utilities have been banned since 2022 from cutting off power during the summer, following the 2018 death of a 72-year-old woman after Arizona Public Service disconnected her electricity over a $51 debt. Ann Porter, spokesperson for Arizona Public Service, which provides electricity to homes in the park where Kouplen lived, said “due to privacy concerns” the company could not say if she had an account at the time of her death or in the past. Porter said the utility does not cut power from June 1 to Oct. 15.  Cutoffs can occur after those dates if mounting debts are not paid.  Arizona is among 19 states with shut-off protections, leaving about half of the U.S. population without safeguards against losing electricity during the summer, the National Energy Assistance Directors Association said in a  Almost 20% of very-low income families have no air conditioning at all, especially in places like Washington state where they weren't commonly installed before climate-fueled heat waves grew increasingly stronger, frequent and longer lasting.  In the Pacific Northwest, several hundred people died during a 2021 heat wave, prompting Portland, Oregon, to launch  Chicago, better known for its cold winters, saw a heat wave kill 739 mostly older people over five days in 1995. Amid high humidity and temperatures over 100 degrees (37.7 C), most victims had no air conditioning or couldn’t afford to turn on their units. In 2022, Chicago adopted a cooling ordinance after three women died in their apartments in a building for older adults on an unusually warm spring day. Certain residential buildings must now have at least one air conditioned common area for cooling when the heat index exceeds 80 degrees (26.6 C) and cooling is unavailable in individual units. Nonprofits in historically hotter areas like Arizona also are trying to better address the inequities low-income people face during the sweltering summers. The Phoenix-based community agency  Laws protect renters in some places. Phoenix landlords must ensure air conditioning units cool to 82 degrees (28 C) or below and that evaporative coolers lower the temperature to 86 degrees (30 C). Palm Springs, California, and Las Vegas, both desert cities, have ordinances requiring landlords to offer air conditioning in rental dwellings. Dallas, where temperatures can pass 110 degrees (43.3 C) in the summer, has a similar law. But most renters pay their own electricity costs, leaving them to agonize whether they can afford to even turn on the cooling or how high to set the thermostat.  A new report  Wolfe noted the federal  At Kouplen's mobile home park, Spanish-speaking neighbors had little interaction with “Señora Shirley,” who used a walker to take her two small dogs outside. Neighbors said the animals were adopted after her death.  Kouplen was  “Never Forgotten,” their shared marker reads.  "
Federal judge overturns $4.7 billion jury verdict in 'Sunday Ticket' lawsuit and rules for NFL,A federal judge overturned a jury’s $4.7 billion verdict in the class-action lawsuit filed by “Sunday Ticket” subscribers against the NFL and granted judgment to the NFL,JOE REEDY AP sports writer,"LOS ANGELES --  U.S. District Judge Philip Gutierrez ruled Thursday that the testimony of two witnesses for the subscribers had flawed methodologies and should have been excluded. “Without the testimonies of Dr. (Daniel) Rascher and Dr. (John) Zona, no reasonable jury could have found class-wide injury or damages,” Gutierrez wrote at the end of his 16-page ruling. On June 27 the jury awarded $4.7 billion in damages to residential and commercial subscribers after it ruled the NFL violated antitrust laws in distributing out-of-market Sunday afternoon games on a premium subscription service. The lawsuit covered 2.4 million residential subscribers and 48,000 businesses in the United States who paid for the package on DirecTV of out-of-market games from the 2011 through 2022 seasons.  “We are grateful for today’s ruling in the Sunday Ticket class action lawsuit,” the NFL said in a statement. “We believe that the NFL’s media distribution model provides our fans with an array of options to follow the game they love, including local broadcasts of every single game on free over-the-air television. We thank Judge Gutierrez for his time and attention to this case and look forward to an exciting 2024 NFL season.” Calls and emails to the attorneys representing “Sunday Ticket” subscribers were not returned. The jury of five men and three women found the NFL liable for $4,610,331,671.74 in damages to the residential class (home subscribers) and $96,928,272.90 in damages to the commercial class (business subscribers). Because damages can be tripled under federal antitrust laws, the NFL could have been liable for $14,121,779,833.92. Gutierrez did say in his decision that if he did not rule for the NFL as a matter of law, he would have vacated the jury's damages verdict and conditionally grant a new trial “based on the jury’s irrational damages award.” Rascher's models were variations of a college football model. Rascher, an economist at the University of San Francisco, said during his testimony that “they figured it out in college sports, (so) they would certainly figure it out at the NFL.” Gutierrez said Rascher's testimony “was not the product of sound economic methodology” and that he needed to explain how out-of-market telecasts would have been available on cable and satellite without an additional subscription. Gutierrez also found flaws in Zona's “multiple distributor” models because it predicted consumers would have paid more if another service besides DirecTV offered “Sunday Ticket” and there was an unsupported assumption that another distributor — either cable, satellite or streaming — would have been available. “Without knowing what “direct-to-consumer” meant, it is impossible to determine if it would have been economically rational for consumers to purchase ”Sunday Ticket"" from an alternative distributor at a higher price,"" Gutierrez said. ""And, that definition was necessary for determining whether a viable alternative distributor even existed during the class period. Without that information, the Court cannot determine whether the but-for worlds without exclusivity were modeled reliably. The jury’s amount also did not conform to Rascher's model ($7.01 billion) by Daniel Rascher, or the model ($3.48 billion) by Zona, who was an expert witness in the case. Instead, the jury used the 2021 list price of $293.96 and subtracted $102.74, the average price actually paid by residential Sunday Ticket subscribers. The jury then used $191.26, which it considered as the “overcharge,” and multiplied that by the number of subscribers to come up with the damages amount. Gutierrez said the jury did not follow his instructions and ""instead relied on inputs not tied to the record to create its own ‘overcharge.’” It is not the first time the NFL has won a judgment as matter of law in this case, which has been going on since 2015. In 2017, U.S. District Judge Beverly Reid O’Connell dismissed the lawsuit and ruled for the NFL because she said “Sunday Ticket” did not reduce output of NFL games and that even though DirecTV might have charged inflated prices, that did not “on its own, constitute harm to competition” because it had to negotiate with the NFL to carry the package.  Two years later, the 9th Circuit Court of Appeals reinstated the case.  It is likely the plaintiffs will again appeal to the 9th Circuit. ___ AP NFL:  "
Shares sink in Japan as a tech-driven retreat on Wall St drives selling of chip makers and exporters,Japan's benchmark Nikkei 225 index has dropped nearly 6% after a broad retreat on Wall Street,The Associated Press,"TOKYO --  The drop of more than 2,000 points to its close at 35,909.70 left the index near where it was in January, erasing huge gains that had taken the Nikkei index past the 40,000 level as enthusiasm for artificial intelligence drove shares in computer chipmakers and other related companies sharply higher.  The Nikkei had hit an all-time high of 42,224.02 on July 11.  Oct. 19, 1987, was dubbed Black Monday after shares plunged worldwide, with the Tokyo index dropping 3,836.48, or nearly 15%, and other world markets sinking far more. Investors dumped shares in the belief that prices were too high.  Then, Japan's markets recovered relatively quickly because the country was still in the midst of a financial bubble that would take the Nikkei to nearly 39,000 before it collapsed in early 1990. The Nikkei did not recover that earlier peak of 38,915.87 until earlier this year.  Friday's decline in Japan and in other world markets followed a retreat on Wall Street after weak data raised worries the Federal Reserve may have missed its window to cut interest rates before it undercuts economic growth. Analysts said traders also were selling Japanese shares to position themselves to buy U.S. equities.  ""I think markets globally are having a headless chicken moment,” the financial outlet Nikkei Asia cited Nicholas Smith of analyst CLSA as saying.  Japanese shares have been pummeled after the Bank of Japan raised its benchmark interest rate on Wednesday, to a modest 0.25% from 0.1%. As expected, the yen has since jumped against the dollar, potentially hurting manufacturers’ earnings and deflating a tourism boom.  Mitsubishi UFJ Financial Group Inc. plunged 12%. Toyota Motor Corp.’s shares fell 4.2%, Sony Group Corp.’s shares lost 6.7% and SoftBank Group Corp. declined 8%. Chip maker Tokyo Electron dived 12% and chip equipment maker Lasertec Corp. lost 10.8%.  Early Friday, the yen was trading at 149.07, up from 149.37 late Thursday.  "
"Japan's Nikkei 225 index tumbles 4.6%, hit by losses for technology shares and expected impacts of a strong yen","Japan's Nikkei 225 index tumbles 4.6%, hit by losses for technology shares and expected impacts of a strong yen",The Associated Press,BANGKOK --  
Nintendo reports trailing profit as sales of aging Switch game console slide,Japanese video game maker Nintendo has reported a 55% drop in its profit in the April-June quarter as sales slipped in both machines and game software,YURI KAGEYAMA AP business writer,"TOKYO --  Game machine sales tend to trail off after they hit the market.  Profit at Nintendo Co., owner of the Super Mario and Pokemon franchises, totaled 80.95 billion yen ($543 million) in the last quarter, down from 181 billion yen a year earlier. Quarterly sales declined 46.5% to 246.6 billion yen ($1.7 billion).  Nintendo did not release any new information about a promised Switch successor. Earlier this year, its president, Shuntaro Furukawa, said an announcement will be made before April 2025.  There's an estimated 128 million Switch players around the world. Quarterly sales of the Switch machine for the latest period fell 46% year-on-year to 2.1 million machines from 3.9 million. Software sales declined 41%, despite million-seller games including a take on the Super Mario series called “Paper Mario,” and a new Luigi game. Nintendo said the declines in sales and profit reflected especially strong results last year, when they got a powerful boost from a Super Mario Brothers movie. Nintendo stressed that its recent profits and sales, which were in line with analysts' forecasts, were comparable to  Another Super Mario film is promised for 2026, as Nintendo leans on  The latest in the Mario Party, Donkey Kong and Zelda series is being promised for the next several months.  “Other software publishers also plan to release a wide variety of titles, and we will strive to invigorate the platform by continually introducing new titles in addition to the existing titles,” Nintendo said. The company vowed to keep wooing people to its games. Later this year the Nintendo Museum will open in Japan’s ancient capital of Kyoto, where the company is based. A Nintendo store is due to open in San Francisco’s Union Square next year. Nintendo stocks dropped 2.3% in Tokyo trading, shortly before earnings were announced. The overall Nikkei benchmark plunged 5.8% on Friday.  Nintendo's shares have recent fallen as the U.S. dollar has weakened against the yen, trading at about 149 yen. It had earlier cost above 160 yen. A weak yen is a plus for exporters like Nintendo because it boosts the value of their overseas earnings.  Nintendo kept its profit forecast for the year through March at 300 billion yen ($2 billion). ___ Yuri Kageyama is at X:  "
Japan's benchmark Nikkei 225 index closes 5.8% lower as global markets sink after a tech-driven selloff on Wall Street,Japan's benchmark Nikkei 225 index closes 5.8% lower as global markets sink after a tech-driven selloff on Wall Street,The Associated Press,TOKYO --  
Exxon Mobil's $60 billion acquisition of Pioneer fuels production and profit surge in second quarter,Exxon Mobil's $60 billion acquisition of Pioneer fuels production and profit surge in second quarter,The Associated Press,"SPRING, Texas --  "
"Turkey blocks access to Instagram. It's in response to removal of posts on Hamas chief, reports say",Turkey’s communications authority has blocked access to the social media platform Instagram,SUZAN FRASER Associated Press,"ANKARA, Turkey --  The Information and Communication Technologies Authority, which regulates the internet, announced the decision early Friday but did not provide a reason.  Yeni Safak newspaper, which is close to the government, and other media said access was blocked in response to Instagram removing posts by Turkish users that expressed condolences over the killing of Hamas political leader Ismail Haniyeh. “Sanctions for Instagram’s blackout policy were swift. The Information Technologies and Communication Authority blocked access to Instagram,” Yeni Safak stated in its online edition. Earlier, Fahrettin Altun, the presidential communications director and aide to President Recep Tayyip Erdogan, had strongly criticized the Meta-owned platform for preventing users in Turkey from posting messages of condolences for Haniyeh. The transportation and infrastructure minister, Abdulkadir Uraloglu, maintained that Instagram had ignored “sensitivities” and was in breach of a so-called inventory of serious crimes, which include incitement to suicide, torture, obscenity, crimes against the state’s security and child sexual abuse, among others. He did not elaborate which particular crime the platform is alleged to have breached. “When they don’t abide by laws and our regulations and don’t take our societal sensitivities into consideration, we are obliged to make the necessary interventions,” he said.  The minister said Turkish authorities were in contact with Instagram’s representative in Turkey. “When they fulfill the requirements, we will lift the ban,” he said. Uraloglu's deputy, Omer Fatih Sayan, wrote on X: “We will do what is needed to establish a social media that respects our values, is free of disinformation, and is cleaner and more secure.” There was no immediate comment from Instagram, which has over 50 million users in Turkey, a nation with a population of 85 million. Unlike its Western allies, Turkey does not consider Hamas to be a terror organization. A  The country is observing a day of mourning for Haniyeh on Friday, during which flags are being flown at half-staff. Ekrem Imamoglu, the mayor of Istanbul and a member of Turkey's main opposition party, denounced the decision to block Instagram, accusing the communications authority of acting like a “censorship unit.” “Social media is a platform that everyone uses for many purposes, including for commerce and communicating,” Imamoglu wrote on X. “It is unacceptable that a platform used by the entire country is arbitrarily shut down one morning.” Turkey has a track record of censoring social media and websites. Hundreds of thousands of domains have been blocked since 2022, according to the Freedom of Expression Association, a non-profit organization regrouping lawyers and human rights activists. The video-sharing platform YouTube was blocked from 2007 to 2010. "
US safety agency moves probe of Dodge Journey fire and door lock failure a step closer to a recall,U.S. auto safety regulators are a step closer to seeking a recall of nearly a million Dodge Journey SUVs after a woman was trapped and died in a 2022 vehicle fire,The Associated Press,"DETROIT --  The National Highway Traffic Safety Administration upgraded an investigation opened last year  The agency says in documents posted on its website Friday that it now has 19 complaints from owners and the automaker that inoperative door locks and windows can prevent people from getting out of the small SUVs during an emergency. There were no additional fires, injuries or deaths.  The probe started with Journeys from the 2009 model year, but has been expanded to include those sold through 2020. Agency documents say investigators will look at the cause of the fire “and its potential effect on the actuation of the door locks.” Stellantis, which makes Dodge vehicles, said in a statement that the company is cooperating in the investigation and extends sympathy to the woman's family. NHTSA says it also will explore other possible causes for any door lock malfunctions. The Journey owner’s manual says the doors can be unlocked manually by pulling up a plunger on the top of the door trim panel. A complaint filed with the agency before the investigation began says the woman pulled to the side of a road when warning lights started flashing, windshield wipers came on, the horn started honking, windows wouldn’t go down and the doors wouldn’t unlock. The complaint alleged that fire apparently started in the engine and spread, trapping her inside. “The driver was unable to exit the vehicle, resulting in her death,” the agency wrote in documents. Agency documents don’t say where the fire happened, but  Frahm had called her fiance and told him she pulled to the side of the road after the Journey started having electrical problems. Later she called back and said smoke was coming from the dashboard and she could smell burning, the newspaper said. She called 911, but by the time first responders had arrived, flames had engulfed the SUV, the newspaper reported. In 2009, Chrysler LLC recalled about 17,000 Journeys because an unused electrical connector could corrode and short circuit, potentially causing a fire, according to NHTSA documents. Michael Brooks, executive director of the nonprofit Center for Auto Safety, said in 2023 that drivers should try to pull up the plunger first to escape if their vehicle’s electrical system malfunctions. Beyond that, escape is difficult because many windows now have plastic laminated between two layers of glass and are difficult to shatter. He suggested keeping a metal tool in the car and becoming familiar with which windows are tempered glass and can be shattered with the tool. Laminated glass, he said, helps to prevent people from being thrown from cars in a crash. He said there’s a need to standardize a way to unlock doors or somehow escape from all cars. "
"American employers added just 114,000 jobs in July, unemployment rate hits 4.3% as interest rates take economic toll","American employers added just 114,000 jobs in July, unemployment rate hits 4.3% as interest rates take economic toll",The Associated Press,WASHINGTON --  
